Exercício: 2016;;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta; Valor ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.22.30.00 - Cota-Parte Royalties ¿ Compensação Financeira pela Produção de Petróleo ¿ Lei nº 7.990/89;siconfi-cor_RO1.7.2.1.22.30.00; R$ 6.095.388,82 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.22.40.00 - Cota-Parte Royalties pelo Excedente da Produção do Petróleo - Lei nº 9.478/97 artigo 49 I e II;siconfi-cor_RO1.7.2.1.22.40.00; R$ 189.269,55 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.22.70.00 - Cota-Parte do Fundo Especial do Petróleo ¿ FEP;siconfi-cor_RO1.7.2.1.22.70.00; R$ 4.145.565,23 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.33.00.00 - Transferências de Recursos do Sistema Único de Saúde - SUS - Repasses Fundo a Fundo;siconfi-cor_RO1.7.2.1.33.00.00; R$ 321.032.550,59 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.34.00.00 - Transferências de Recursos do Fundo Nacional de Assistência Social ¿ FNAS;siconfi-cor_RO1.7.2.1.34.00.00; R$ 8.789.025,64 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.35.00.00 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação ¿ FNDE;siconfi-cor_RO1.7.2.1.35.00.00; R$ 9.387.084,51 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.36.00.00 - Transferências Financeiras do ICMS ¿ Desoneração ¿ L.C. Nº 87/96;siconfi-cor_RO1.7.2.1.36.00.00; R$ 1.118.334,60 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.1.99.00.00 - Outras Transferências da União;siconfi-cor_RO1.7.2.1.99.00.00; R$ 1.092.655,22 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.2.00.00.00 - Transferências dos Estados;siconfi-cor_RO1.7.2.2.00.00.00; R$ 352.245.021,54 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.2.01.00.00 - Participação na Receita dos Estados;siconfi-cor_RO1.7.2.2.01.00.00; R$ 335.157.826,87 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.2.01.01.00 - Cota-Parte do ICMS;siconfi-cor_RO1.7.2.2.01.01.00; R$ 246.249.971,78 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.2.01.02.00 - Cota-Parte do IPVA;siconfi-cor_RO1.7.2.2.01.02.00; R$ 87.957.847,11 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.2.01.04.00 - Cota-Parte do IPI - Municípios;siconfi-cor_RO1.7.2.2.01.04.00; R$ 86.828,45 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.2.01.13.00 - Cota-Parte da Contribuição de Intervenção no Domínio Econômico;siconfi-cor_RO1.7.2.2.01.13.00; R$ 863.179,53 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.2.33.00.00 - Transferências de Recursos do Estado para Programas de Saúde - Repasse Fundo a Fundo;siconfi-cor_RO1.7.2.2.33.00.00; R$ 17.087.194,67 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.4.00.00.00 - Transferências Multigovernamentais;siconfi-cor_RO1.7.2.4.00.00.00; R$ 155.236.343,25 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.4.01.00.00 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério - FUNDEB;siconfi-cor_RO1.7.2.4.01.00.00; R$ 126.181.601,00 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.2.4.02.00.00 - Transferências de Recursos da Complementação ao Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério - FUNDEB;siconfi-cor_RO1.7.2.4.02.00.00; R$ 29.054.742,25 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.3.0.00.00.00 - Transferências de Instituições Privadas;siconfi-cor_RO1.7.3.0.00.00.00; R$ 182.529,32 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.6.0.00.00.00 - Transferências de Convênios;siconfi-cor_RO1.7.6.0.00.00.00; R$ 2.475.996,17 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.6.1.00.00.00 - Transferências de Convênios da União e de Suas Entidades;siconfi-cor_RO1.7.6.1.00.00.00; R$ 2.475.996,17 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.7.6.1.99.00.00 - Outras Transferências de Convênios da União;siconfi-cor_RO1.7.6.1.99.00.00; R$ 2.475.996,17 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.0.0.00.00.00 - Outras Receitas Correntes;siconfi-cor_RO1.9.0.0.00.00.00; R$ 59.933.838,84 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.1.0.00.00.00 - Multas e Juros de Mora;siconfi-cor_RO1.9.1.0.00.00.00; R$ 16.497.015,04 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.1.1.00.00.00 - Multas e Juros de Mora dos Tributos;siconfi-cor_RO1.9.1.1.00.00.00; R$ 23.064,18 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.1.1.99.00.00 - Multas e Juros de Mora de Outros Tributos;siconfi-cor_RO1.9.1.1.99.00.00; R$ 23.064,18 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.1.2.00.00.00 - Multas e Juros de Mora das Contribuições;siconfi-cor_RO1.9.1.2.00.00.00; R$ 133.591,35 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.1.2.29.00.00 - Multas e Juros de Mora das Contribuições para o Regime Próprio de Previdência do Servidor;siconfi-cor_RO1.9.1.2.29.00.00; R$ 133.591,35 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.1.8.00.00.00 - Multas e Juros de Mora de Outras Receitas;siconfi-cor_RO1.9.1.8.00.00.00; R$ 12.746.084,01 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.1.8.99.00.00 - Outras Multas e Juros de Mora;siconfi-cor_RO1.9.1.8.99.00.00; R$ 12.746.084,01 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.1.9.00.00.00 - Multas de Outras Origens;siconfi-cor_RO1.9.1.9.00.00.00; R$ 3.594.275,50 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.2.0.00.00.00 - Indenizações e Restituições;siconfi-cor_RO1.9.2.0.00.00.00; R$ 10.480.694,71 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.2.1.00.00.00 - Indenizações;siconfi-cor_RO1.9.2.1.00.00.00; R$ 48.695,05 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.2.2.00.00.00 - Restituições;siconfi-cor_RO1.9.2.2.00.00.00; R$ 10.431.999,66 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.2.2.07.00.00 - Recuperação de Despesas de Exercícios Anteriores;siconfi-cor_RO1.9.2.2.07.00.00; R$ 640.238,74 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.2.2.10.00.00 - Compensações Financeiras entre o Regime Geral e os Regimes Próprios de Previdência dos Servidores;siconfi-cor_RO1.9.2.2.10.00.00; R$ 8.198.928,72 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.9.2.2.99.00.00 - Outras Restituições;siconfi-cor_RO1.9.2.2.99.00.00; R$ 1.592.832,20 ;
